"Citytwist","146%","$13.1m","Advertising & Marketing","Florida","Miami",,130,
"The Original Frameless Shower Doors","145%","$8.5m","Manufacturing","Florida","Miami",,75,
"OpTech","145%","$49.2m","IT Services","Michigan","Detroit",,398,
"ClearShark","145%","$152.1m","IT Services","Maryland","Baltimore",,38,
"NSS RPO","145%","$5.4m","Human Resources","Virginia","Washington DC",,30,
"Sleepypod","145%","$2.2m","Consumer Products & Services","California","Los Angeles",,6,
"Dynamic Automation","145%","$9.9m","Manufacturing","California","Oxnard-Thousand Oaks-Ventura CA",,35,
"MyDealerLot","145%","$4.8m","Software","Georgia","Atlanta",,32,
"IMPROVEIT 360","145%","$2.5m","Software","Ohio","Columbus OH",,29,
"infoLock Technologies","145%","$5.7m","Security","Virginia","Washington DC",,15,
"HHAeXchange","145%","$10.7m","Health","New York",,,57,
"Nexcess.Net","145%","$20m","Telecommunications","Michigan","Detroit",,107,
"Atlantic Southern Paving and Sealcoating","145%","$32.5m","Construction","Florida","Miami",,75,
"Agency Promo Group & APG Exhibits","145%","$2.5m","Advertising & Marketing","Illinois","Chicago",,7,
"Hyperion Global Partners","144%","$2.6m","Business Products & Services","Texas","Houston",,18,
"IMPRES Technology Solutions","144%","$98m","Government Services","California","Los Angeles",,37,
"Hollister Construction Services","144%","$163.1m","Construction","New Jersey","New York City",,94,
"ApplyLogic Consulting Group","144%","$5.7m","Government Services","Virginia","Washington DC",,32,
"TeleQuality Communications","144%","$17.7m","Telecommunications","Texas","#N/A",,34,
"PeopleShare","144%","$105.8m","Human Resources","Pennsylvania","Reading PA",,18000,
"Coherent Solutions","144%","$25.3m","IT Services","Minnesota","Minneapolis",,560,
"Paradigm Computer Consulting","144%","$3.9m","IT Services","New Hampshire","Manchester-Nashua NH",,26,
"GW Communications","144%","$25.3m","Telecommunications","Texas","Dallas",,150,
"Altos Photonics","144%","$15.5m","Business Products & Services","Montana","Bozeman MT",,12,
"Your Green Contractor","144%","$10.5m","Construction","Colorado","Denver",,28,
"Evolve IP","144%","$58.6m","IT Services","Pennsylvania","Philadelphia",,200,
"GSF Mortgage","144%","$17.1m","Financial Services","Wisconsin","Milwaukee-Waukesha-West Allis WI",,195,
"STONE Resource Group","144%","$13m","IT Services","Georgia","Atlanta",,128,
"Car Keys Express","144%","$28.9m","Business Products & Services","Kentucky","Louisville/Jefferson County KY-IN",,199,
"eCash Software Systems","144%","$4.7m","Financial Services","Mississippi","Jackson MS",,26,
"INSIGHT2PROFIT","144%","$15.1m","Business Products & Services","Ohio","Cleveland",,57,
"Dixon Schwabl","144%","$71.3m","Advertising & Marketing","New York","Rochester NY",,102,
"PT Solutions Physical Therapy","144%","$44.8m","Health","Georgia","Atlanta",,701,
"Fund&Grow","143%","$2.6m","Financial Services","Florida","Tampa",,15,
"HappyFunCorp","143%","$6.3m","Software","New York","New York City",,75,
"JEMSU","143%","$3m","Advertising & Marketing","Colorado","Denver",,25,
"Zernco","143%","$29m","Construction","Kansas","Wichita KS",,57,
"DevelopIntelligence","143%","$3.5m","Education","Colorado","Boulder CO",,25,
"Poulton Associates","143%","$6.8m","Insurance","Utah","Salt Lake City",,21,
"Deep Blue Communications","143%","$13.4m","IT Services","New York","Albany-Schenectady-Troy NY",,75,
"Cherokee Enterprises","143%","$20m","Environmental Services","Florida","Miami",,50,
"Care N Assist","143%","$2.6m","Health","Michigan","Owosso MI",,196,
"QI-Solutions","143%","$10.1m","Government Services","California","Oxnard-Thousand Oaks-Ventura CA",,102,
"Partner Engineering and Science","143%","$97m","Environmental Services","California","Los Angeles",,600,
"LCPtracker","143%","$5.8m","Software","California","Los Angeles",,46,
"Knight Point Systems","143%","$106m","IT Services","Virginia","Washington DC",,244,
"SS Industries","142%","$10.3m","Manufacturing","Pennsylvania","Philadelphia",,85,
"Allgood Plumbing Electric"," Heating and Cooling","142%","$6.7m","Construction","Georgia",,"Atlanta",51
"Impact Financial Systems","142%","$7.5m","Financial Services","North Carolina","Charlotte",,35,
"Saince","142%","$4.2m","Health","Georgia","Atlanta",,45,
"DZAP Group","142%","$9m","Advertising & Marketing","California","San Diego",,69,
"Emerald Isle Landscaping","142%","$11.8m","Construction","Colorado","Denver",,192,
"AArete","142%","$25.7m","Business Products & Services","Illinois","Chicago",,90,
"Connvertex Technologies","142%","$5.5m","Government Services","Utah","Salt Lake City",,60,
"Fresh Consulting","142%","$6.4m","Business Products & Services","Washington","Seattle",,56,
"daVIZta","142%","$9.2m","IT Services","New Jersey","New York City",,70,
"Namitus Technologies","142%","$4m","IT Services","Texas","Dallas",,35,
"Owens Harkey Advertising","142%","$7.9m","Advertising & Marketing","Arizona","Phoenix",,36,
"Cornerstone.IT","142%","$7.3m","IT Services","New York","New York City",,28,
"Infinite Resource Solutions","142%","$7.6m","IT Services","Georgia","Atlanta",,60,
"FSC Interactive","141%","$2.4m","Advertising & Marketing","Louisiana","New Orleans-Metairie LA",,26,
"Gravity Works Design","141%","$2.3m","IT Services","Michigan","Lansing-East Lansing MI",,15,
"Chandra Technologies","141%","$5.4m","IT Services","Wisconsin","Madison WI",,12,
"ArdentMC","141%","$23.2m","IT Services","Virginia","Washington DC",,101,
"Karsun Solutions","141%","$22.4m","Government Services","Virginia","Washington DC",,75,
"Concorde Holdings","141%","$28.5m","Financial Services","Michigan","Detroit",,21,
"Wilson Legal Solutions","141%","$13.3m","IT Services","Pennsylvania","Philadelphia",,65,
"Latitude Beverage Company","141%","$26.4m","Food & Beverage","Massachusetts","Boston",,47,
"Ghostery","141%","$19.3m","Software","New York","New York City",,97,
"COLOR MASTERS PAINTING","141%","$8.3m","Construction","North Carolina","Raleigh NC",,15,
"Door To Door Organics","141%","$41m","Food & Beverage","Colorado","Boulder CO",,343,
"High Country Search Group","141%","$10.5m","Business Products & Services","Colorado","Denver",,127,
"BNG Holdings","141%","$3.5m","Financial Services","North Dakota","Fargo ND-MN",,33,
"Mather Economics","140%","$5.6m","Business Products & Services","Georgia","Atlanta",,32,
"In Time Tec","140%","$4.8m","Software","Idaho","Boise City ID",,15,
"L2TMedia","140%","$39.1m","Advertising & Marketing","Illinois","Chicago",,69,
"Crossroads Courier","140%","$17.1m","Logistics & Transportation","Missouri","St. Louis MO-IL",,50,
"Express Logistics","140%","$22.5m","Logistics & Transportation","Iowa","Des Moines-West Des Moines IA",,43,
"Zifty.com","140%","$10m","Food & Beverage","Georgia","Atlanta",,125,
"Laketown Electric","140%","$7.6m","Construction","Minnesota","Minneapolis",,35,
"11th Hour Staffing","140%","$2.2m","Human Resources","Ohio","Dayton OH",,65,
"Avani Technology Solutions","140%","$17.2m","IT Services","New York","Rochester NY",,162,
"Gentry Real Estate Group","140%","$12.9m","Real Estate","Arizona","Phoenix",,24,
"Tremendous! Entertainment","140%","$23.5m","Media","Minnesota","Minneapolis",,31,
"INNOVIM","140%","$17.8m","Government Services","Maryland","Washington DC",,108,
"I.C.E. Service Group","140%","$12.2m","Logistics & Transportation","Pennsylvania","Pittsburgh PA",,9,
"Xebec Global","139%","$15.5m","Government Services","Virginia","Washington DC",,98,
"Packsize International","139%","$170m","Manufacturing","Utah","Salt Lake City",,300,
"Encore Data Products","139%","$3m","Business Products & Services","Colorado","Boulder CO",,8,
"Crescent Homes","139%","$69.6m","Real Estate","South Carolina","Charleston-North Charleston SC",,36,
"Reflex Sales Group","139%","$3.9m","Business Products & Services","California","Los Angeles",,3,
"The Vertex Companies","139%","$79m","Construction","Massachusetts","Boston",,395,
"Unosquare","139%","$9.6m","IT Services","Oregon","Portland OR",,207,
"C2 IT Solutions","139%","$16.1m","IT Services","Minnesota","Minneapolis",,50,
"Aces Dental","139%","$2.1m","Health","Nevada","Las Vegas-Henderson-Paradise NV",,29,
"Pilot","139%","$2.2m","Advertising & Marketing","Massachusetts","Boston",,19,
"Synergyst Research Group","139%","$7.9m","Health","Texas","San Antonio TX",,70,
"The Spa and Sauna Co.","139%","$4.7m","Consumer Products & Services","Nevada","Reno NV",,19,
"DiscoverIT Solutions","139%","$3.8m","Computer Hardware","California","Los Angeles",,5,
"AlliedPRA New Orleans","139%","$3.2m","Travel & Hospitality","Louisiana","New Orleans-Metairie LA",,52,
"Supply Solutions","138%","$6.4m","Business Products & Services","California","Los Angeles",,21,
"machineLOGIC","138%","$2.1m","IT Services","Colorado","Denver",,18,
"Ideum","138%","$6.7m","Business Products & Services","New Mexico","Albuquerque NM",,53,
"J2 Business Products","138%","$11m","Business Products & Services","Montana","Kalispell MT",,43,
"Summit Custom Homes","138%","$86.3m","Real Estate","Missouri","Kansas City MO-KS",,43,
"Event Decor Direct","138%","$10m","Business Products & Services","Florida","Miami",,34,
"Ideosity","138%","$3m","IT Services","Illinois","Chicago",,16,
"Effex Management Solutions","138%","$143.7m","Human Resources","Texas","Houston",,6500,
"Travinia Italian Kitchen Holdings","138%","$21m","Food & Beverage","South Carolina","Greenville-Anderson-Mauldin SC",,534,
"Big Ass Fans","138%","$206.7m","Manufacturing","Kentucky","Lexington-Fayette KY",,835,
"Newcastle Construction","138%","$45.1m","Construction","Alabama","Birmingham-Hoover AL",,25,
"@properties","138%","$200.1m","Real Estate","Illinois","Chicago",,135,
"COSOURCING PARTNERS","137%","$9.4m","IT Services","Illinois","Chicago",,53,
"IMPAQ International","137%","$58.4m","Government Services","Maryland","Baltimore",,364,
"HCTec Partners","137%","$114.4m","Health","Tennessee","Nashville",,819,
"Telebroad","137%","$3.3m","Telecommunications","New York","New York City",,27,
"Evo Exhibits","137%","$11.5m","Advertising & Marketing","Illinois","Chicago",,46,
"Zerbee","137%","$7.4m","Retail","Minnesota","Minneapolis",,7,
"LoadDelivered","137%","$82.6m","Logistics & Transportation","Illinois","Chicago",,96,
"1Rivet","137%","$7.9m","IT Services","Virginia","Washington DC",,35,
"Dom & Tom","137%","$5.8m","IT Services","New York","New York City",,46,
"Resources Real Estate","137%","$3m","Real Estate","New Jersey","New York City",,75,
"European Wax Center","137%","$83.2m","Consumer Products & Services","Florida","Miami",,332,
"Adler Windows","137%","$15.3m","Construction","New York","New York City",,70,
"Cornerstone Detention Products","137%","$55.5m","Construction","Alabama","Huntsville AL",,209,
"SALES EMPOWERMENT GROUP","137%","$2.4m","Business Products & Services","Illinois","Chicago",,28,
"LS2group","137%","$9.9m","Advertising & Marketing","Iowa","Des Moines-West Des Moines IA",,51,
"G&A Partners","136%","$1.2b","Human Resources","Texas","Houston",,184,
"CE Group","136%","$8.1m","Advertising & Marketing","Texas","San Antonio TX",,71,
"Reach Marketing","136%","$15.1m","Advertising & Marketing","New York","New York City",,42,
"Halloran Consulting Group","136%","$13.8m","Business Products & Services","Massachusetts","Boston",,43,
"Market Data Service","136%","$3.3m","Real Estate","Utah","Ogden-Clearfield UT",,36,
"Grand Trunk","136%","$6m","Consumer Products & Services","Illinois","Chicago",,16,
"ADVANCED CARE PEDIATRICS","136%","$3.7m","Health","Georgia","Atlanta",,169,
"S&P Consultants","136%","$16.5m","Health","Massachusetts","Boston",,85,
"JMF Solutions","136%","$2m","Telecommunications","Alabama","Daphne-Fairhope-Foley AL",,24,
"Time Definite Services","136%","$52.3m","Logistics & Transportation","Illinois","Chicago",,78,
"LaVoie Health Science","136%","$2.8m","Advertising & Marketing","Massachusetts","Boston",,10,
"Curiosity Advertising","136%","$17.5m","Advertising & Marketing","Ohio","Cincinnati",,50,
"Netsync Network Solutions","136%","$206.9m","IT Services","Texas","Houston",,141,
"Remote Tiger","136%","$8.5m","IT Services","Maryland","Washington DC",,90,
"Knowledge Hub Media","136%","$2.5m","Media","Pennsylvania","Philadelphia",,6,
"TrackVia","136%","$5.4m","Software","Colorado","Denver",,50,
"AccruePartners","136%","$26.3m","Human Resources","North Carolina","Charlotte",,59,
"YapStone","136%","$160.4m","Financial Services","California","San Francisco",,305,
"Global Technical Talent","136%","$31.5m","IT Services","New Hampshire","Boston",,70,
"Wildkin","136%","$7.4m","Consumer Products & Services","Tennessee","Nashville",,6,
"AtWork Group","136%","$257.3m","Human Resources","Tennessee","Knoxville TN",,40000,
"Avanti Markets","136%","$29m","Business Products & Services","Washington","Seattle",,19,
"Excellence Engineering","136%","$9.2m","Engineering","Oklahoma","Tulsa OK",,34,
"Fetch! Pet Care","135%","$2m","Business Products & Services","Ohio","Dayton OH",,110,
"Hudec Woodworking","135%","$9.7m","Construction","Indiana","Chicago",,48,
"Bridge Partners","135%","$31.2m","Business Products & Services","Washington","Seattle",,160,
"IntraLogic Solutions","135%","$8.6m","Security","New York","New York City",,55,
"GetWellNetwork","135%","$68.3m","Health","Maryland","Washington DC",,350,
"Coastal Payroll Services","135%","$3.8m","Human Resources","California","San Diego",,28,
"MicroHealth","135%","$5m","Health","Virginia","Washington DC",,70,
"The Junkluggers","135%","$5.5m","Consumer Products & Services","Connecticut","Bridgeport-Stamford-Norwalk CT",,55,
"SFW","135%","$12.2m","Advertising & Marketing","North Carolina","Greensboro-High Point NC",,50,
"AltaSource Group","135%","$9m","IT Services","Washington","Seattle",,40,
"Stone Temple Consulting","135%","$6.9m","Advertising & Marketing","Massachusetts","Boston",,50,
"Archimedia Solutions Group","135%","$8.4m","Consumer Products & Services","Massachusetts","Boston",,25,
"Trinity Solar","135%","$167.9m","Energy","New Jersey","New York City",,884,
"Ceterus","135%","$2.1m","Software","South Carolina","Charleston-North Charleston SC",,21,
"Teguar Computers","134%","$6m","Computer Hardware","North Carolina","Charlotte",,10,
"memoryBlue","134%","$6.4m","Business Products & Services","Virginia","Washington DC",,94,
"PPM","134%","$3.4m","Business Products & Services","California","Los Angeles",,22,
"Bottom Line Equipment","134%","$70m","Construction","Louisiana","New Orleans-Metairie LA",,95,
"247Headhunting","134%","$7m","Human Resources","Illinois","Chicago",,10,
"Star2Star Communications","134%","$52.6m","Telecommunications","Florida","North Port-Sarasota-Bradenton FL",,280,
"Compworldwide","134%","$4.9m","IT Services","New Jersey","New York City",,66,
"eDataWorld","134%","$6.4m","IT Services","Texas","Dallas",,75,
"EventWorks","134%","$4.8m","Business Products & Services","South Carolina","Charleston-North Charleston SC",,48,
"Commuter Air Technology","134%","$61.9m","Business Products & Services","Oklahoma","Oklahoma City OK",,140,
"ARGI Financial Group","134%","$16.3m","Financial Services","Kentucky","Louisville/Jefferson County KY-IN",,102,
"Transportation Impact","134%","$10.2m","Logistics & Transportation","North Carolina","Morehead City NC",,22,
"Consumer Cellular","134%","$614.9m","Telecommunications","Oregon","Portland OR",,1276,
"AMG & Associates","134%","$39m","Construction","California","Los Angeles",,27,
"iCIMS","134%","$87.2m","Software","New Jersey","New York City",,536,
"Lauchlan","134%","$3.3m","Advertising & Marketing","New Hampshire","Boston",,22,
"corp2corp","134%","$12m","IT Services","New Jersey","New York City",,170,
"Avenue Link","134%","$8.5m","Advertising & Marketing","Kansas","Kansas City MO-KS",,14,
